RT_Demand,DayOfWeek,HourOfDay
506.46,3.0,7.0
486.49,3.0,8.0
411.05,3.0,9.0
332.5,3.0,10.0
294.13,3.0,11.0
285.95,3.0,12.0
296.93,3.0,13.0
309.33,3.0,14.0
340.07,3.0,15.0
383.6,3.0,16.0
395.16,3.0,17.0
451.83,3.0,18.0
527.0,3.0,19.0
563.79,3.0,20.0
568.95,3.0,21.0
548.7,3.0,22.0
514.53,3.0,23.0
474.92,4.0,0.0
452.29,4.0,1.0
438.59,4.0,2.0
431.7,4.0,3.0
431.23,4.0,4.0
442.88,4.0,5.0
471.39,4.0,6.0
502.32,4.0,7.0
499.43,4.0,8.0
447.53,4.0,9.0
400.25,4.0,10.0
342.38,4.0,11.0
317.89,4.0,12.0
328.44,4.0,13.0
353.71,4.0,14.0
371.22,4.0,15.0
407.87,4.0,16.0
469.77,4.0,17.0
532.66,4.0,18.0
563.14,4.0,19.0
574.01,4.0,20.0
571.51,4.0,21.0
554.39,4.0,22.0
523.58,4.0,23.0
486.78,5.0,0.0
461.89,5.0,1.0
448.59,5.0,2.0
441.19,5.0,3.0
440.5,5.0,4.0
444.75,5.0,5.0
460.67,5.0,6.0
486.32,5.0,7.0
514.5,5.0,8.0
518.88,5.0,9.0
481.03,5.0,10.0
481.1,5.0,11.0
463.6,5.0,12.0
433.39,5.0,13.0
411.19,5.0,14.0
391.7,5.0,15.0
379.84,5.0,16.0
409.41,5.0,17.0
495.63,5.0,18.0
558.02,5.0,19.0
585.49,5.0,20.0
589.0,5.0,21.0
570.18,5.0,22.0
541.07,5.0,23.0
503.01,6.0,0.0
475.8,6.0,1.0
460.63,6.0,2.0
450.7,6.0,3.0
447.69,6.0,4.0
451.77,6.0,5.0
460.3,6.0,6.0
465.96,6.0,7.0
455.93,6.0,8.0
447.56,6.0,9.0
463.15,6.0,10.0
478.54,6.0,11.0
460.96,6.0,12.0
411.38,6.0,13.0
356.02,6.0,14.0
363.14,6.0,15.0
391.63,6.0,16.0
434.72,6.0,17.0
486.57,6.0,18.0
527.76,6.0,19.0
552.42,6.0,20.0
558.24,6.0,21.0
542.28,6.0,22.0
512.92,6.0,23.0
478.16,0.0,0.0
455.15,0.0,1.0
441.0,0.0,2.0
434.55,0.0,3.0
435.87,0.0,4.0
446.87,0.0,5.0
477.08,0.0,6.0
509.32,0.0,7.0
513.67,0.0,8.0
489.07,0.0,9.0
433.2,0.0,10.0
405.75,0.0,11.0
455.23,0.0,12.0
523.38,0.0,13.0
565.09,0.0,14.0
572.51,0.0,15.0
560.59,0.0,16.0
581.43,0.0,17.0
611.96,0.0,18.0
606.31,0.0,19.0
600.78,0.0,20.0
591.64,0.0,21.0
582.26,0.0,22.0
542.32,0.0,23.0
495.57,1.0,0.0
468.59,1.0,1.0
454.37,1.0,2.0
445.19,1.0,3.0
445.55,1.0,4.0
457.97,1.0,5.0
488.75,1.0,6.0
517.8,1.0,7.0
512.23,1.0,8.0
455.42,1.0,9.0
396.57,1.0,10.0
360.85,1.0,11.0
329.8,1.0,12.0
299.13,1.0,13.0
290.09,1.0,14.0
298.73,1.0,15.0
343.53,1.0,16.0
403.31,1.0,17.0
492.06,1.0,18.0
544.35,1.0,19.0
578.58,1.0,20.0
585.71,1.0,21.0
580.69,1.0,22.0
537.1,1.0,23.0
496.95,2.0,0.0
473.93,2.0,1.0
460.38,2.0,2.0
453.12,2.0,3.0
454.85,2.0,4.0
466.53,2.0,5.0
498.21,2.0,6.0
523.0,2.0,7.0
494.42,2.0,8.0
419.21,2.0,9.0
342.85,2.0,10.0
313.94,2.0,11.0
302.89,2.0,12.0
290.57,2.0,13.0
276.53,2.0,14.0
264.16,2.0,15.0
274.94,2.0,16.0
322.65,2.0,17.0
416.69,2.0,18.0
513.78,2.0,19.0
559.44,2.0,20.0
571.57,2.0,21.0
561.47,2.0,22.0
525.07,2.0,23.0
485.2,3.0,0.0
459.07,3.0,1.0
445.76,3.0,2.0
439.13,3.0,3.0
439.74,3.0,4.0
452.16,3.0,5.0
482.27,3.0,6.0
503.5,3.0,7.0
476.9,3.0,8.0
408.84,3.0,9.0
334.47,3.0,10.0
290.07,3.0,11.0
270.6,3.0,12.0
257.04,3.0,13.0
250.28,3.0,14.0
265.42,3.0,15.0
308.67,3.0,16.0
361.19,3.0,17.0
460.76,3.0,18.0
542.31,3.0,19.0
563.58,3.0,20.0
569.41,3.0,21.0
550.13,3.0,22.0
511.29,3.0,23.0
468.75,4.0,0.0
442.92,4.0,1.0
427.44,4.0,2.0
418.62,4.0,3.0
418.01,4.0,4.0
425.95,4.0,5.0
454.07,4.0,6.0
495.21,4.0,7.0
528.81,4.0,8.0
528.97,4.0,9.0
494.81,4.0,10.0
456.29,4.0,11.0
431.06,4.0,12.0
437.3,4.0,13.0
470.8,4.0,14.0
489.78,4.0,15.0
498.06,4.0,16.0
506.1,4.0,17.0
572.38,4.0,18.0
602.13,4.0,19.0
590.73,4.0,20.0
569.77,4.0,21.0
547.03,4.0,22.0
506.1,4.0,23.0
467.0,5.0,0.0
442.69,5.0,1.0
425.72,5.0,2.0
416.78,5.0,3.0
415.13,5.0,4.0
416.04,5.0,5.0
431.56,5.0,6.0
449.96,5.0,7.0
466.9,5.0,8.0
476.6,5.0,9.0
